Marca ,Producto,Nombre del Producto,Fotos,Contenido,Precio,Aplicacion,Textura,Uso,Tipo de piel,Libre de crueldad,Vegano,Efecto a largo plazo,Enlaces
Neutrogena,Hidratante,Hydro Boost Water Gel,HydroBoostWaterGel.png,50 ml," S/  41,70 ",Dia y Noche,Ligera,Diario,Grasa y mixta,No,No ,3 meses,https://augustinusbader.com/int/en/the-serum
Institut Esthederm,Serum,Intensive Hyaluronic Serum,IntensiveHyaluronicSerum.jpg,30 ml," S/  299,00 ",Dia y Noche,Ligera,Diario,Seca,Si,Si,1 semana,https://www.amazon.com/Kate-Somerville-Goat-Milk-Cream-1-7/dp/B01G8C0SJ6
Biologique Recherche,Limpiador,Lait VIP O2 ,LaitVIPO2.jpg,50 ml," S/  120,83 ",Dia y Noche,Ligera,Diario,Acneicas,Si,Si,2 semanas,https://www.amazon.com/-/es/belif-Aqua-Bomb-HyalucidTM-hialur%C3%B3nico/dp/B0C4M2F2RP
Drunk Elephant,Hidratante,Lala Retro Whipped Cream,LalaRetroWhippedCream.png,50 ml," S/  201,16 ",Dia y Noche,Ligera,Diario,Seca,Si,Si,2 semanas,https://koparibeauty.com/blogs/all-things-coconut/this-is-how-you-sheer-oil-2?srsltid=AfmBOopWrYFuVzC9rNpJ4dF0bMCysZkCd-SNpo78uHnQxqLlxsIQMW3h
Herbivore Botanicals,Limpiador,Lapis Facial Oil Cleanser,LapisFacialOilCleanser.jpg,50 ml," S/  275,13 ",Dia y Noche,Ligera,Diario,Seca,Si,Si,1 semana,https://www.amazon.com/-/es/First-Beauty-Ultra-Repair-Cream/dp/B004WC2H8A
Biotherm,Hidratante,Life Plankton™ Elixir,LifePlankton™Elixir.jpeg,30 ml," S/  308,69 ",Dia y Noche,Ligera,Diario,Mixta,Si,Si,2 semanas,https://www.fresh.com/us/skincare/collections/soy?srsltid=AfmBOopgi9CbUT0_fOaRc8FDQokBgDo48HSFK83pVC88_L9NMHl3N8oB
Sunday Riley,Tonico,Luna Sleeping Night Oil,LunaSleepingNightOil.png,35 ml," S/  393,25 ",Noche,Ligera ,Diario,Todo tipo,Si,Si,4 meses,https://www.herbivorebotanicals.com/products/lapis-facial-oil-1?srsltid=AfmBOordcea2qNyQwl8e5lTz3ttglwJOfUv3aAy-X7-HG6JaEta0mlxF
Kiehl's,Serum,Midnight Recovery Concentrate,MidnightRecoveryConcentrate.png,30 ml," S/  106,00 ",Noche,Ligera,Diario,Todo tipo,Si,No,2 semanas,https://www.falabella.com.pe/falabella-pe/product/121398159/Lifting-liquido-de-caviar-de-piel-La-Prairie-50ml/121398160?kid=shopp44fc&gad_source=1&gbraid=0AAAAADs9MO3fDPz1tM_mhna4TgkAApis-&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu6PPYk6TbOYazVJcAh-4ohzOw-GDaED6PUAJa3MAOaRWbD37a5PrrgaAqfWEALw_wcB
Vichy,Serum,Mineral 89 Face Serum,Mineral89FaceSerum.jpg,50 ml," S/  178,90 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,1 semana,https://simple.ripley.com.pe/la-roche-posay-effaclar-gel-limpiador-purificante-200ml-pmp00001305156?gad_source=1&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu7ucjU-v_1PLEUPGkFArIke60ZvJSQfmv9oJTJvE39ZdABkfgMsS-MaAtF_EALw_wcB&s=mdco
Mac,Exfoliante,Mineralize Volcanic Ash Exfoliator,MineralizeVolcanicAshExfoliator.png,100 ml," S/  149,00 ",Dia,Media,Interdiario,Todo tipo,No ,No ,2 meses,https://simple.ripley.com.pe/crema-facial-lancome-hidratante-anti-stress-hydra-zen-50-ml-2013289854149p?gad_source=1&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu53MG3BxzoOqpSTX0O7Hf-pO8yghvcrBhz-LyCqnJE9CAUk5xtT9fYaAoSUEALw_wcB&s=mdco
Etude House,Serum,Moistfull Collagen Ampoule Serum,MoistfullCollagenAmpouleSerum.jpg,48 ml," S/  76,00 ",Noche,Espesa,Diario,Todo tipo,Si,No,3 semanas,https://www.falabella.com.pe/falabella-pe/product/137194167/Mascarilla-de-Agua-para-Dormir-Ex-Laneige/137194168?kid=shopp44fc&gad_source=1&gbraid=0AAAAADs9MO3fDPz1tM_mhna4TgkAApis-&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu7lEpZiNPvXNY5fdi818zqqbN-uX8VNyT5P_8-1nF6BuVoKlcvZz3gaAiG9EALw_wcB
TonyMoly,Hidratante ,Moisture Boost Cooling Aloe Vera Gel,MoistureBoostCoolingAloeVeraGel.png,90 ml," S/  74,90 ",Dia y Noche,Ligera,Diario,Sensible y seca,Si,Si,2 semanas,https://www.falabella.com.pe/falabella-pe/product/13616211/Limpiador-Mineralize-Volcanic-Ash-Exfoliator/13616211
Clinique,Hidratante,Moisture Surge 72-Hour Hydrator,MoistureSurge72HourHydrator.png,50 ml," S/  249,00 ",Dia y Noche,Ligera,Diario,Seca,No,No,1 semana,https://www.amazon.com.mx/Mamonde-Pore-Clean-Clay-100ml/dp/B07427DJLY
Alba Botanica,Hidratante,Natural Hawaiian Oil Free Moisturizer,NaturalHawaiianOilFreeMoisturizer.jpg,85 ml," S/  79,73 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,2 semanas,https://www.aruma.pe/bruma-facial-mario-badescu-aloe-hierbas-y-agua-de-rosas-118-ml/p?idsku=1022726&gad_source=1&gbraid=0AAAAAC9EUS27G0TMiHbaaKNDke0-yBgSd&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu7nQX6QSf8fipRYpddISm3XBMkvW2rSFEsefZsMkgvcYMp655gwAMkaAgaXEALw_wcB
The Ordinary,Hidratante ,Niacinamide 10% + Zinc 1%,Niacinamide10Zinc1.jpeg,30 ml," S/  69,99 ",Dia y Noche,Ligera,Diario,Mixta,Si,Si,3 meses,https://dermotiendashopping.com/hydr8-b5-30-ml.html?gad_source=1&gbraid=0AAAAAoNHiJGMM2CsDcTH1knn7iwrt6gXr&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu5jHq6NHB64Zd6PLKhWP948wZQE2PpdGJd5FPBMtpRBoL7VdkgG2eYaApXUEALw_wcB
Naturium,Limpiador,Niacinamide Cleansing Gelee 3%,NiacinamideCleansingGelee3.jpg,150 ml," S/  67,52 ",Dia y Noche,Ligera,Diario,Grasa y mixta,Si,Si ,1 mes ,https://www.falabella.com.pe/falabella-pe/product/127958790/Crema-Hidratante-Vegan-Milk-Moisturizer-48-ml-MILK/127958791
Kora Organics,Bloqueador,Noni Radiant Mineral SPF 30 Sunscreen,NoniRadiantMineralSPF30Sunscreen.jpg,50 ml," S/  208,21 ",Dia,Ligera,Diario,Todo tipo,Si,Si,Al momento,https://www.falabella.com.pe/falabella-pe/product/130557451/MISSHA-ALL-AROUND-SAFE-BLOCK-AQUA-SUN-SPF50-++++/130557452?kid=shopp44fc&gad_source=1&gbraid=0AAAAADs9MO3fDPz1tM_mhna4TgkAApis-&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu4jh3rPXE-XepNiTlTkEli-hGE5iZycTctpmooET_ZzTtq25ibjB_AaAroxEALw_wcB
Glow Recipe,Limpiador,Papaya Sorbet Enzyme Cleansing Balm,PapayaSorbetEnzymeCleansingBalm.png,100 ml," S/  119,84 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,2 semanas,https://www.falabella.com.pe/falabella-pe/product/130517194/Limpiador-Exfoliante-AHA-BHA-Murad/130517196?kid=shopp44fc&gad_source=1&gbraid=0AAAAADs9MO3fDPz1tM_mhna4TgkAApis-&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu5yD37BamQ3cD-vkfCHMgTu8WvoI3kt2bthNaJdIijK1JRfEuF9ve0aApVJEALw_wcB
Rhode,Hidratante,Peptide Glazing Fluid,PeptideGlazingFluid.jpg,50 ml," S/  185,00 ",Dia y Noche,Ligera ,Diario,Todo tipo,Si,Si,2 meses,https://www.amazon.com/-/es/Diamond-Extreme-tratamiento-reafirma-revitaliza/dp/B01JS3KLU8
Allies of Skin,Hidratante,Peptides & Antioxidants Advanced Firming Daily Treatment,Peptides&AntioxidantsAdvancedFirmingDailyTreatment.jpg,50 ml," S/  306,80 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,1 semana,https://www.amazon.com/-/es/Naturium-limpiador-niacinamida-hialurónico-vitamina/dp/B0855L2LXL
Estee Lauder,Limpiador,Perfectly Clean Multi Action Foam Cleanser,PerfectlyCleanMultiActionFoamCleanser.png,150 ml," S/  152,10 ",Dia y Noche,Media,Interdiario,Grasa,Si,No,1 semana,https://dermotiendashopping.com/neutrogena-hidratante-facial-hydro-boost-50gr.html?gad_source=1&gbraid=0AAAAAoNHiJFL8s0i5ZRdRR9AUmLLzw3_A&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu7PVKb0omg9Pgn38RGpBx6EtZrKJpHpyZEJfWroPtzpXvXlEb-vDUUaApkhEALw_wcB
Mamonde,Mascarilla,Pore Clean Clay Mask,PoreCleanClayMask.jpg,100 ml," S/  873,76 ",Dia y Noche,Media,Interdiario,Grasa y mixta,No ,No ,1 a 2 meses,https://inkafarma.pe/producto/crema-humectante-nivea-soft/908195
Erno Laszlo,Serum,Pore Refining Detox Serum,PoreRefiningDetoxSerum.jpg,30 ml," S/  169,92 ",Noche,Ligera,Diario,Grasa,Si,No,1 semana,https://www.amazon.com/-/es/Protect-Perfect-Intense-Advanced-Skincare/dp/B00Y40YTPY
Clarins,Limpiador,Precious La Mousse Luxury Foaming Face Cleanser,PreciousLaMousseLuxuryFoamingFaceCleanser.jpg,150 ml," S/  337,01 ",Dia y Noche,Ligera,Diario,Grasa,Si,No,2 semanas,https://us.amazon.com/Laszlo-Refining-Detox-Double-Cleanse/dp/B07G1LRB32
Caudalie,Hidratante,Premier Cru Anti Aging Cream Moisturizer,PremierCruAntiAgingCreamMoisturizer.png,50 ml," S/  487,10 ",Dia y Noche,Media,Diario,Madura,Si,Si,2 semanas,https://pe.iherb.com/pr/obagi-professional-c-serum-20-1-fl-oz-30-ml/143421
Elemis,Serum,Pro Collagen Super Serum Elixir,ProCollagenSuperSerumElixir.jpg,15 ml," S/  302,08 ",Noche,Ligera,Diario,Madura,Si,No,3 semanas,https://www.amazon.com/Youth-People-Vitamin-Caffeine-Energy/dp/B08WCRLVTV
Obagi,Serum,Professional C Serum 20%,ProfessionalCSerum20.png,30 ml," S/  400,94 ",Dia,Ligera,Diario,Todo tipo,No ,No,1 a 2 meses,https://www.amazon.com/-/es/Eminence-Organic-Skincare-Stone-Crop/dp/B000KQ1E5Y
